"event","day","type"
"National Shrimp Scampi Day "," April 29","food"
"National Raisin Day "," April 30","food"
"National Hoagie Day "," May 5","food"
"National Shrimp Day "," May 10","food"
"National Eat What You Want Day "," May 11","food"
"National Apple Pie Day "," May 13","food"
"National Fruit Cocktail Day "," May 13","food"
"National Buttermilk Biscuit Day "," May 14","food"
"National Chocolate Chip Day "," May 15","food"
"National Walnut Day "," May 17","food"
"National Pizza Party Day "," May 19","food"
"National Devil’s Food Cake Day "," May 19","food"
"National Taffy Day "," May 23","food"
"National Brisket Day "," May 28","food"
"National Hamburger Day "," May 28","food"
"National Macaroon Day "," May 31","food"
"National Olive Day "," June 1","food"
"National Donut Day "," June 2","food"
"National Egg Day "," June 3","food"
"National Cheese Day "," June 4","food"
"National Chocolate Ice Cream Day "," June 7","food"
"National Corn on the Cob Day "," June 11","food"
"National Fudge Day "," June 16","food"
"National Eat Your Vegetables Day "," June 17","food"
"International Sushi Day "," June 18","food"
"National Candy Month "," June","food"
"National Onion Ring Day "," June 22","food"
"National Chocolate Pudding Day "," June 26","food"
"National Tapioca Day "," June 28","food"
"National Ice Cream Month "," July","food"
"National Fried Chicken Day "," July 6","food"
"National Strawberry Sundae Day "," July 7","food"
"National Sugar Cookie Day "," July 9","food"
"National Chicken Wing Day "," July 29","food"
"National French Fry Day "," July 13","food"
"National Mac and Cheese Day "," July 14","food"
"National Corn Fritter Day "," July 16","food"
"National Ice Cream Day "," July 16","food"
"National Hot Dog Day "," July 19","food"
"National Junk Food Day "," July 21","food"
"Hot Fudge Sundae Day "," July 25","food"
"National Milk Chocolate Day "," July 28","food"
"National Lasagna Day "," July 29","food"
"National Cheesecake Day "," July 30","food"
"National Ice Cream Sandwich Day "," August 2","food"
"National Watermelon Day "," August 3","food"
"National Chocolate Chip Cookie Day "," August 4","food"
"National Mustard Day "," August 5","food"
"National Fajita Day "," August 18","food"
"National Potato Day "," August 19","food"
"National Lemonade Day "," August 20","food"
"National Sponge Cake Day "," August 23","food"
"National Waffle Day "," August 24","food"
"National Banana Split Day "," August 25","food"
"National Lemon Juice Day "," August 29","food"
"National Trail Mix Day "," August 31","food"
"World Coconut Day "," September 2","food"
"National Cheese Pizza Day "," September 5","food"
"National Peanut Day "," September 13","food"
"National Linguine Day "," September 15","food"
"National Guacamole Day "," September 16","food"
"National Cheeseburger Day "," September 18","food"
"National Pepperoni Pizza Day "," September 20","food"
"National Ice Cream Cone Day "," September 22","food"
"National Cherries Jubilee Day "," September 24","food"
"National Lobster Day "," September 25","food"
"National Cooking Day "," September 25","food"
"National Pancake Day "," September 26","food"
"World Vegetarian Day "," October 1","food"
"National Homemade Cookies Day "," October 1","food"
"National Taco Day "," October 4","food"
"National Noodle Day "," October 6","food"
"National Sausage Pizza Day "," October 11","food"
"National Dessert Day "," October 14","food"
"National Pasta Day "," October 17","food"
"National Nut Day "," October 22","food"
"National Bologna Day "," October 24","food"
"World Pasta Day "," October 25","food"
"National Pumpkin Day "," October 26","food"
"National Chocolate Day "," October 28","food"
"National Sandwich Day "," November 3","food"
"National Candy Day "," November 4","food"
"National Sundae Day "," November 11","food"
"National Pickle Day "," November 14","food"
"National Cake Day "," November 26","food"
"National Cookie Day "," December 4","food"
"National Brownie Day "," December 8","food"
"National Cupcake Day "," December 15","food"
"National Maple Syrup Day "," December 17","food"
"National Bacon Day "," December 30","food"
"National Wear Red Day "," February 3","health"
"World Cancer Day "," February 4","health"
"National Kick Butts Day "," March 15","health"
"World Health Day "," April 7","health"
"National Men’s Health Month "," June","health"
"National Men’s Health Week "," June 12-18","health"
"World Blood Donor Day "," June 14","health"
"National Hydration Day "," June 23","health"
"National Stay Out of the Sun Day "," July 3","health"
"World Hepatitis Day "," July 28","health"
"World Mental Health Day "," October 10","health"
"Ides of March "," March 15","historical"
"National Winston Churchill Day "," April 9","historical"
"ANZAC Day "," April 25","historical"
"Harvey Milk Day "," May 22","historical"
"Memorial Day "," May 29","historical"
"Nelson Mandela International Day "," July 18","historical"
"National Skyscraper Day "," September 3","historical"
"Labor Day "," September 4","historical"
"National Day of Service and Remembrance "," September 11","historical"
"International Day of Democracy — September 15",NA,"historical"
"Constitution Day "," September 17","historical"
"Columbus Day "," October 9","historical"
"National Dress Up Your Pet Day "," January 14","pet"
"National Love Your Pet Day "," February 20","pet"
"Walking the Dog Day "," February 22","pet"
"International Dog Biscuit Appreciation Day "," February 23","pet"
"National K9 Veterans Day "," March 13","pet"
"National Puppy Day "," March 23","pet"
"Respect Your Cat Day "," March 28","pet"
"National Pet Day "," April 11","pet"
"National Hug Your Cat Day "," June 4","pet"
"National Take Your Dog to Work Day "," June 23","pet"
"National Kitten Day "," July 10","pet"
"National Mutt Day "," July 31","pet"
"World Cat Day "," August 8","pet"
"National Spoil Your Dog Day "," August 10","pet"
"National Black Cat Appreciation Day "," August 17","pet"
